DAE,DOY,Pot Green Canopy Cover,Pot crop Transpiration (mm/day),Pot Biomass (kg/ha),Green Canopy Cover,Biomass (kg/ha),Transpiration (mm),Soil Evap (mm),Root Depth (m),Height (m),Max N Conc (kg/kg),Crit N Conc (kg/kg),Min N Conc (kg/kg),Crop N Conc (kg/kg),Crop N Mass (kg/ha),N Uptake (kg/ha),Crop WSI (0-1),Crop NSI (0-1),PAW Depletion Profile (0-1),Water Top 50 cm (m/m),Water Mid 50 cm (m/m),Water bottom 50 cm (m/m),N Mass Top 50 cm (kg/ha),N Mass Mid 50 cm (kg/ha),N Mass bottom 50 cm (kg/ha),N Leaching (kg/ha),Soil N Mass down to 150 cm (kg/ha),N Uptake Rate (kg/ha/day)
36,338,0.0998228180669181,0.0052406979485132,53.93519106951787,0.0998228180669181,53.93519106951787,0.005240697948513198,0.03486533632708306,0.33303803011153016,0.10233694623963858,0.07,0.0434,0.0315,0.06859160088907734,3.6995010997164988,2.299501099716499,0,0.0,0.0026349184812930427,,,,32.13868888187474,4.0430487486888556,7.579775348676916,0.0,43.761512979240514,0.050742400945833877
37,339,0.10469742975010192,0.030231382840341926,56.07287265062311,0.10469742975010192,56.07287265062311,0.030231382840341926,0.1901138652027707,0.34116238291683654,0.10858644839756655,0.07,0.0434,0.0315,0.0676780661613889,3.794903585108005,2.394903585108005,0,0.0,0.0033936690159834582,,,,32.04377535562251,4.043105696485091,7.579775348676916,0.0,43.66665640078452,0.09540248539150598
38,340,0.10983199826527562,0.03315553447633007,58.41732297683085,0.10983199826527562,58.41732297683085,0.03315553447633008,0.196940516011121,0.3497199971087927,0.11516922854522514,0.07,0.0434,0.0315,0.0670556399811841,3.9172109781989235,2.517210978198923,0,0.0,0.0041949983193214834,,,,31.921776216098813,4.043141728500466,7.579775348676916,0.0,43.5446932932762,0.12230739309091848
39,341,0.11523572710595019,0.03176184728357752,60.66322473655377,0.11523572710595019,60.66322473655377,0.03176184728357752,0.17657378454862124,0.3587262118432503,0.12209708603326946,0.07,0.0434,0.0315,0.06679308878798905,4.05188415599437,2.6518841559943693,0,0.0,0.004925607313484051,,,,31.787743146217995,4.043216242692198,7.579775348676916,0.0,43.41073473758711,0.13467317779544621
40,342,0.1209175696537279,0.01269634481364143,61.56099188795462,0.1209175696537279,61.56099188795462,0.012696344813641429,0.06729580430631835,0.3681959494228798,0.1293814995560614,0.07,0.0434,0.0315,0.06747080427046251,4.153569634367717,2.753569634367716,0,0.0,0.005158765606313371,,,,31.68627923917166,4.04322279237025,7.579775348676916,0.0,43.30927738021883,0.10168547837334649
41,343,0.12688614427108477,0.0016653806435579877,61.678752082586286,0.12688614427108477,61.678752082586286,0.0016653806435579955,0.00862035460994802,0.3781435737851413,0.1370335182962625,0.07,0.0434,0.0315,0.0683789886934577,4.217530691281748,2.817530691281748,0,0.0,0.005116354972928891,,,,31.56676872480548,4.1002076455362095,7.579775348676916,0.0,43.24675171901861,0.06396105691403205
42,344,0.13314964243492977,0.0017475890569584533,61.802325289876556,0.13314964243492977,61.802325289876556,0.0017475890569584515,0.008232437123982,0.38858273739154964,0.14506364414734585,0.07,0.0434,0.0315,0.06891198926256822,4.258921176777722,2.8589211767777214,0,0.0,4.002298643712994e-05,,,,31.423930711725465,4.203601613301984,7.579775348676916,0.0,43.20730767370436,0.04139048549597348
43,345,0.1397157302468064,0.02934030335182934,63.87699803609144,0.1397157302468064,63.87699803609144,0.029340303351829338,0.12975728346949258,0.3995262170780106,0.15348170544462356,0.07,0.0434,0.0315,0.06802580396414204,4.345284146221043,2.9452841462210424,0,0.0,0.0006524266162201119,,,,31.260422393894228,4.283621584931951,7.579775348676916,0.0,43.1238193275031,0.08636296944332096
44,346,0.14659144383879177,0.040404266708066974,66.73401113390585,0.14659144383879177,66.73401113390585,0.04040426670806698,0.1693215155469161,0.4109857397313197,0.16229672287024588,0.07,0.0434,0.0315,0.06705999048248562,4.475182151497816,3.0751821514978155,0,0.0,0.0008719063265390046,,,,31.108662161240087,4.308172226704469,7.579775348676916,0.0,42.99660973662147,0.1298980052767733
45,347,0.15378307939735125,0.04036805834180471,69.58846391358827,0.15378307939735125,69.58846391358827,0.04036805834180471,0.1576861529640797,0.42297179899558546,0.17151676845814265,0.07,0.0434,0.0315,0.06652623726187291,4.629458661004655,3.2294586610046543,0,0.0,0.0008447556867262479,,,,30.95091920724396,4.3126043328829615,7.579775348676916,0.0,42.84329888880384,0.15427650950683858
46,348,0.16129607874806803,0.002117011033568393,69.73815919935657,0.16129607874806803,69.73815919935657,0.002117011033568397,0.008002781282417782,0.4354934645801134,0.18114881890777954,0.07,0.0434,0.0315,0.06770391571957499,4.721546452871539,3.3215464528715395,0,0.0,4.292847758324481e-05,,,,30.840122423755417,4.332859130559705,7.579775348676916,0.0,42.75275690299204,0.09208779186688502
47,349,0.16913491167848557,0.002219895715780123,69.89512953077207,0.16913491167848557,69.89512953077207,0.0022198957157801213,0.007813367801669953,0.44855818613080933,0.19119860471600714,0.07,0.0434,0.0315,0.06844101524769239,4.7836936259550065,3.383693625955006,0,0.0,4.3590002486527986e-05,,,,30.672456863927945,4.4412597282368935,7.579775348676916,0.0,42.69349194084175,0.062147173083466636
48,350,0.17730295641907493,0.13729897687702114,79.60363329074373,0.17730295641907493,79.60363329074373,0.13729897687702114,0.484528336308407,0.4621715940317916,0.20167045694753197,0.07,0.0434,0.0315,0.06397525643820816,5.092662853188415,3.6926628531884145,0,0.0,0.002609165892797675,,,,30.346713465997546,4.482321521755149,7.579775348676916,0.0,42.40881033642961,0.3089692272334086
